"species","order","family","fullCodeSuitable","fullCodeMarginal","fullCodeUnknown","briefCode"
"Maxomys rajah","RODENTIA","MURIDAE","1.6",NA,NA,"1"
"Maxomys surifer","RODENTIA","MURIDAE","14.4,1.5,1.6,1.9",NA,NA,"14,1"
"Maxomys tajuddinii","RODENTIA","MURIDAE","1.6,1.8",NA,NA,"1"
"Maxomys tompotika","RODENTIA","MURIDAE",NA,NA,NA,NA
"Maxomys wattsi","RODENTIA","MURIDAE","1.9",NA,NA,"1"
"Maxomys whiteheadi","RODENTIA","MURIDAE","14.3,14.4,1.6,1.9",NA,NA,"14,1"
"Melasmothrix naso","RODENTIA","MURIDAE","1.9",NA,NA,"1"
"Micromys erythrotis","RODENTIA","MURIDAE",NA,NA,NA,NA
"Micromys minutus","RODENTIA","MURIDAE","1.1,1.2,1.4,14.1,14.4,14.6,15.7,15.8,3.4,3.5,4.4,5.4",NA,NA,"1,14,15,3,4,5"
"Nesokia bunnii","RODENTIA","MURIDAE","5.4",NA,"4.6","4,5"
"Nesokia indica","RODENTIA","MURIDAE","14.1,14.2,14.3,14.6,1.5,15.7,3.5,4.5",NA,NA,"14,1,15,3,4"
"Nesoromys ceramicus","RODENTIA","MURIDAE","1.9",NA,NA,"1"
"Niviventer andersoni","RODENTIA","MURIDAE","1.4",NA,NA,"1"
"Niviventer brahma","RODENTIA","MURIDAE","1.4",NA,"1.9","1"
"Niviventer bukit","RODENTIA","MURIDAE",NA,NA,NA,NA
"Niviventer cameroni","RODENTIA","MURIDAE","1.9",NA,NA,"1"
"Niviventer confucianus","RODENTIA","MURIDAE","1.4,14.1,1.6,1.9","1.4,14.1,1.6,1.9",NA,"1,14"
"Niviventer coninga","RODENTIA","MURIDAE","1.4,3.4",NA,NA,"1,3"
"Niviventer cremoriventer","RODENTIA","MURIDAE","1.6","1.6",NA,"1"
"Niviventer culturatus","RODENTIA","MURIDAE","1.4",NA,NA,"1"
"Niviventer eha","RODENTIA","MURIDAE","1.4",NA,NA,"1"
"Niviventer excelsior","RODENTIA","MURIDAE","1.9",NA,NA,"1"
"Niviventer fengi","RODENTIA","MURIDAE",NA,NA,NA,NA
"Niviventer fraternus","RODENTIA","MURIDAE","1.9",NA,NA,"1"
"Niviventer fulvescens","RODENTIA","MURIDAE","1.4,1.6,1.9","1.4,1.6,1.9",NA,"1,14"
"Niviventer gladiusmaculus","RODENTIA","MURIDAE",NA,NA,NA,NA
"Niviventer hinpoon","RODENTIA","MURIDAE","1.6,3.6",NA,NA,"1,3"
"Niviventer huang","RODENTIA","MURIDAE",NA,NA,NA,NA
"Niviventer lepturus","RODENTIA","MURIDAE","1.9",NA,NA,"1"
"Niviventer lotipes","RODENTIA","MURIDAE",NA,NA,NA,NA
"Niviventer mekongis","RODENTIA","MURIDAE",NA,NA,NA,NA
"Niviventer niviventer","RODENTIA","MURIDAE","1.4,1.6,1.9",NA,NA,"1"
"Niviventer pianmaensis","RODENTIA","MURIDAE",NA,NA,NA,NA
"Niviventer rapit","RODENTIA","MURIDAE","1.9,3.7",NA,NA,"1,3"
"Niviventer sacer","RODENTIA","MURIDAE",NA,NA,NA,NA
"Niviventer tenaster","RODENTIA","MURIDAE","1.9",NA,NA,"1"
"Palawanomys furvus","RODENTIA","MURIDAE","1.9",NA,NA,"1"
"Papagomys armandvillei","RODENTIA","MURIDAE","1.6,1.9",NA,NA,"1"
"Paucidentomys vermidax","RODENTIA","MURIDAE","1.9",NA,NA,"1"
"Paulamys naso","RODENTIA","MURIDAE","1.9",NA,NA,"1"
"Rattus adustus","RODENTIA","MURIDAE","1.6",NA,NA,"1"
"Rattus andamanensis","RODENTIA","MURIDAE","1.4,1.6,1.9",NA,"14.1","1,14"
"Rattus arfakiensis","RODENTIA","MURIDAE","18",NA,NA,"18"
"Rattus argentiventer","RODENTIA","MURIDAE","14.1,14.3,4.6",NA,NA,"14,4"
"Rattus arrogans","RODENTIA","MURIDAE","1.9,3.7,4.7",NA,NA,"1,3,4"
"Rattus baluensis","RODENTIA","MURIDAE","1.9,3.7",NA,NA,"1,3"
"Rattus blangorum","RODENTIA","MURIDAE","1.6",NA,NA,"1"
"Rattus bontanus","RODENTIA","MURIDAE","1.6,1.9",NA,"14.3","14,1"
"Rattus burrus","RODENTIA","MURIDAE","1.6",NA,NA,"1"
"Rattus colletti","RODENTIA","MURIDAE","4.6",NA,NA,"4"
"Rattus detentus","RODENTIA","MURIDAE","14.3,14.4,14.6",NA,NA,"14"
"Rattus elaphinus","RODENTIA","MURIDAE","1.6",NA,"14.3","14,1"
"Rattus enganus","RODENTIA","MURIDAE","1.6",NA,NA,"1"
"Rattus everetti","RODENTIA","MURIDAE","1.6,1.9,3.7",NA,NA,"1,3"
"Rattus exulans","RODENTIA","MURIDAE","12.1,13.1,14.1,14.2,14.3,14.4,14.5,14.6,1.5,1.6,1.7,1.9,3.5,3.6,3.7,4.5,4.7,6",NA,"12.2,12.3","12,13,14,1,3,4,6"
"Rattus facetus","RODENTIA","MURIDAE",NA,NA,NA,NA
"Rattus feliceus","RODENTIA","MURIDAE","1.6,1.9",NA,NA,"1"
"Rattus fuscipes","RODENTIA","MURIDAE","1.5,1.6,2.1,3.5,3.6",NA,NA,"1,2,3"
"Rattus giluwensis","RODENTIA","MURIDAE","1.9,4.7",NA,NA,"1,4"
"Rattus hainaldi","RODENTIA","MURIDAE","1.6,1.9",NA,NA,"1"
"Rattus hoffmanni","RODENTIA","MURIDAE","1.6,1.9,3.6,3.7","1.6,1.9,3.6,3.7",NA,"14,1,3"
"Rattus hoogerwerfi","RODENTIA","MURIDAE","1.9",NA,NA,"1"
"Rattus jobiensis","RODENTIA","MURIDAE","14.4,1.6","14.4,1.6",NA,"14,1"
"Rattus koopmani","RODENTIA","MURIDAE","18",NA,NA,"18"
"Rattus korinchi","RODENTIA","MURIDAE","1.9",NA,NA,"1"
"Rattus leucopus","RODENTIA","MURIDAE","14.4,1.6","14.4,1.6",NA,"14,1"
"Rattus losea","RODENTIA","MURIDAE","14.1,14.3,14.4,1.7,3.4,3.5,4.6",NA,NA,"14,1,3,4"
"Rattus lugens","RODENTIA","MURIDAE","1.6",NA,NA,"1"
"Rattus lutreola","RODENTIA","MURIDAE",NA,NA,NA,NA
"Rattus macleari","RODENTIA","MURIDAE","1.6",NA,NA,"1"
"Rattus marmosurus","RODENTIA","MURIDAE","1.6,1.9","1.6,1.9",NA,"14,1"
"Rattus mindorensis","RODENTIA","MURIDAE","14.6,1.6,1.9",NA,NA,"14,1"
"Rattus mollicomulus","RODENTIA","MURIDAE","1.9",NA,NA,"1"
"Rattus montanus","RODENTIA","MURIDAE","1.9,4.6",NA,NA,"1,4"
"Rattus mordax","RODENTIA","MURIDAE","14.4,14.6,1.5,1.6,1.9,2.2,3.6","14.4,14.6,1.5,1.6,1.9,2.2,3.6",NA,"14,1,2,3"
"Rattus morotaiensis","RODENTIA","MURIDAE","14.3,14.4,1.6",NA,NA,"14,1"
"Rattus nativitatis","RODENTIA","MURIDAE","1.6",NA,NA,"1"
"Rattus nikenii","RODENTIA","MURIDAE","1.6",NA,NA,"1"
"Rattus niobe","RODENTIA","MURIDAE","14.4,1.9","14.4,1.9",NA,"14,1"
"Rattus nitidus","RODENTIA","MURIDAE","1.4,14.1,14.2,14.3,14.4,14.5,14.6,1.6,1.9,3.4,3.6,3.7",NA,"1.5,3.5,4.4,4.5,4.7","1,14,3,4"
"Rattus norvegicus","RODENTIA","MURIDAE","14.1,14.2,14.3,14.4,14.5",NA,NA,"14"
"Rattus novaeguineae","RODENTIA","MURIDAE","1.6,1.9,4.5",NA,NA,"1,4"
"Rattus omichlodes","RODENTIA","MURIDAE","3.7,5.11",NA,NA,"3,5"
"Rattus osgoodi","RODENTIA","MURIDAE","1.9,3.7,4.7","1.9,3.7,4.7",NA,"14,1,3,4"
"Rattus palmarum","RODENTIA","MURIDAE","14.3,1.6,1.7",NA,NA,"14,1"
"Rattus pelurus","RODENTIA","MURIDAE","18",NA,NA,"18"
"Rattus pococki","RODENTIA","MURIDAE","1.9",NA,NA,"1"
"Rattus praetor","RODENTIA","MURIDAE","14.3,14.4,14.5,14.6,1.6,1.9,4.6",NA,NA,"14,1,4"
"Rattus pyctoris","RODENTIA","MURIDAE","1.4,14.1,14.4,14.6,6",NA,NA,"1,14,6"
"Rattus ranjiniae","RODENTIA","MURIDAE","14.1",NA,NA,"14"
"Rattus rattus","RODENTIA","MURIDAE","1.1,1.2,1.4,14.1,14.2,14.3,14.4,14.5,14.6,1.5,1.7,3.4,3.5,3.6,3.7,3.8,4.1,4.2,4.3,5.4",NA,NA,"1,14,3,4,5"
"Rattus richardsoni","RODENTIA","MURIDAE","3.7,4.7,6",NA,NA,"3,4,6"
"Rattus sakeratensis","RODENTIA","MURIDAE",NA,NA,NA,NA
"Rattus salocco","RODENTIA","MURIDAE","1.9","1.9",NA,"14,1"
"Rattus sanila","RODENTIA","MURIDAE",NA,NA,NA,NA
"Rattus satarae","RODENTIA","MURIDAE","1.9","1.9",NA,"1"
"Rattus simalurensis","RODENTIA","MURIDAE","1.6",NA,NA,"1"
"Rattus sordidus","RODENTIA","MURIDAE","14.3,1.6,2.1,4.5",NA,NA,"14,1,2,4"
"Rattus steini","RODENTIA","MURIDAE","14.4,14.6,1.6,1.9",NA,NA,"14,1"
"Rattus stoicus","RODENTIA","MURIDAE","1.6",NA,NA,"1"
"Rattus tanezumi","RODENTIA","MURIDAE","1.4,14.1,14.2,14.3,14.4,14.5,14.6,1.6,1.9,3.4,3.6,3.7,4.4,4.7",NA,"1.5,1.7,3.5,4.5","1,14,3,4"
"Rattus tawitawiensis","RODENTIA","MURIDAE","18",NA,NA,"18"
"Rattus timorensis","RODENTIA","MURIDAE","1.9",NA,NA,"1"
"Rattus tiomanicus","RODENTIA","MURIDAE","14.1,14.2,14.3,14.4,1.6,1.9,4.6",NA,NA,"14,1,4"
"Rattus tunneyi","RODENTIA","MURIDAE","14.2,14.3,4.5","14.2,14.3,4.5",NA,"14,2,3,4"
"Rattus vandeuseni","RODENTIA","MURIDAE","1.9",NA,NA,"1"
"Rattus verecundus","RODENTIA","MURIDAE","14.4,1.6,1.9",NA,NA,"14,1"
"Rattus villosissimus","RODENTIA","MURIDAE","3.5,8.1",NA,NA,"3,8"
"Rattus xanthurus","RODENTIA","MURIDAE","14.3,1.6",NA,NA,"14,1"
"Saxatilomys paulinae","RODENTIA","MURIDAE","1.6,6",NA,NA,"1,6"
"Sommeromys macrorhinos","RODENTIA","MURIDAE","1.9",NA,NA,"1"
"Srilankamys ohiensis","RODENTIA","MURIDAE","1.6,1.9",NA,NA,"1"
"Sundamys annandalei","RODENTIA","MURIDAE",NA,NA,NA,NA
"Sundamys infraluteus","RODENTIA","MURIDAE","1.6,1.9",NA,NA,"1"
"Sundamys maxi","RODENTIA","MURIDAE","1.6",NA,NA,"1"
"Sundamys muelleri","RODENTIA","MURIDAE","1.6,1.7,1.8,3.6",NA,NA,"1,3"
"Taeromys arcuatus","RODENTIA","MURIDAE","14.4,1.9",NA,NA,"14,1"
"Taeromys callitrichus","RODENTIA","MURIDAE","1.6,1.9",NA,NA,"1"
"Taeromys celebensis","RODENTIA","MURIDAE","1.6",NA,NA,"1"
"Taeromys dominator","RODENTIA","MURIDAE",NA,NA,NA,NA
"Taeromys hamatus","RODENTIA","MURIDAE","1.6,1.9",NA,NA,"1"
"Taeromys microbullatus","RODENTIA","MURIDAE","1.9",NA,NA,"1"
"Taeromys punicans","RODENTIA","MURIDAE","1.6,1.9",NA,NA,"1"
"Taeromys taerae","RODENTIA","MURIDAE","1.9",NA,NA,"1"
"Tarsomys apoensis","RODENTIA","MURIDAE","1.9",NA,NA,"1"
"Tarsomys echinatus","RODENTIA","MURIDAE","1.6",NA,NA,"1"
"Tateomys macrocercus","RODENTIA","MURIDAE","1.9",NA,NA,"1"
"Tateomys rhinogradoides","RODENTIA","MURIDAE","1.9",NA,NA,"1"
"Tonkinomys daovantieni","RODENTIA","MURIDAE","1.6,5.18,6",NA,NA,"1,5,6"
"Tryphomys adustus","RODENTIA","MURIDAE","14.1,14.6,1.6,1.9,4.6",NA,NA,"14,1,4"
"Waiomys mamasae","RODENTIA","MURIDAE","1.9,5.1",NA,NA,"1,5"
"Vandeleuria nilagiricus","RODENTIA","MURIDAE",NA,NA,NA,NA
"Vandeleuria nolthenii","RODENTIA","MURIDAE","1.9",NA,NA,"1"
"Vandeleuria oleraceus","RODENTIA","MURIDAE",NA,NA,NA,NA
"Beamys hindei","RODENTIA","NESOMYIDAE","1.6",NA,NA,"1"
"Beamys major","RODENTIA","NESOMYIDAE",NA,NA,NA,NA
"Cricetomys ansorgei","RODENTIA","NESOMYIDAE","14.4,1.6,2.1",NA,NA,"14,1,2"
"Cricetomys emini","RODENTIA","NESOMYIDAE","1.6,1.9",NA,NA,"1"
"Cricetomys gambianus","RODENTIA","NESOMYIDAE","14.1,14.3,14.4,14.5,1.6,1.9,2.1",NA,NA,"14,1,2"
"Cricetomys kivuensis","RODENTIA","NESOMYIDAE",NA,NA,NA,NA
"Saccostomus campestris","RODENTIA","NESOMYIDAE","14.1,14.4,2.1,3.4,3.5,4.4,4.5,8.2",NA,NA,"14,2,3,4,8"
"Saccostomus mearnsi","RODENTIA","NESOMYIDAE","14.1,2.1,3.5","14.1,2.1,3.5",NA,"14,2,3,8"
"Saccostomus umbriventer","RODENTIA","NESOMYIDAE",NA,NA,NA,NA
"Delanymys brooksi","RODENTIA","NESOMYIDAE","3.7,5.4",NA,NA,"3,5"
"Dendromus insignis","RODENTIA","NESOMYIDAE","4.7,5.4","4.7,5.4","3.7","1,3,4,5"
"Dendromus kahuziensis","RODENTIA","NESOMYIDAE","1.9",NA,NA,"1"
"Dendromus lachaisei","RODENTIA","NESOMYIDAE","1.6,1.9,2.2","1.6,1.9,2.2",NA,"14,1,2"
"Dendromus leucostomus","RODENTIA","NESOMYIDAE",NA,NA,NA,NA
"Dendromus lovati","RODENTIA","NESOMYIDAE","4.7",NA,NA,"4"
"Dendromus melanotis","RODENTIA","NESOMYIDAE","2.1,3.8,4.5,8.2",NA,NA,"2,3,4,8"
"Dendromus mesomelas","RODENTIA","NESOMYIDAE","1.9,2.1,3.8,4.7",NA,NA,"1,2,3,4"
"Dendromus messorius","RODENTIA","NESOMYIDAE","4.5",NA,NA,"4"
"Dendromus mystacalis","RODENTIA","NESOMYIDAE","2.1,2.2,4.5,4.7",NA,NA,"2,4"
"Dendromus nikolausi","RODENTIA","NESOMYIDAE",NA,NA,NA,NA
"Dendromus nyasae","RODENTIA","NESOMYIDAE",NA,NA,NA,NA
"Dendromus nyikae","RODENTIA","NESOMYIDAE","1.5,2.2,4.5",NA,"3.5,3.6","1,2,3,4"
"Dendromus oreas","RODENTIA","NESOMYIDAE","4.7",NA,NA,"4"
"Dendromus ruppi","RODENTIA","NESOMYIDAE",NA,NA,"14.3,5.4","14,5"
"Dendromus vernayi","RODENTIA","NESOMYIDAE",NA,NA,"14.1,2.2","14,2"
"Dendroprionomys rousseloti","RODENTIA","NESOMYIDAE","18",NA,NA,"18"
"Malacothrix typica","RODENTIA","NESOMYIDAE","2.1,3.5,8.1,8.2",NA,NA,"2,3,8"
"Prionomys batesi","RODENTIA","NESOMYIDAE","1.6",NA,NA,"1"
"Steatomys bocagei","RODENTIA","NESOMYIDAE","2.2,3.5",NA,"1.5","1,2,3"
"Steatomys caurinus","RODENTIA","NESOMYIDAE","3.5",NA,NA,"3"
"Steatomys cuppedius","RODENTIA","NESOMYIDAE","3.5,4.5",NA,NA,"3,4"
"Steatomys jacksoni","RODENTIA","NESOMYIDAE","14.1",NA,NA,"14"
"Steatomys krebsii","RODENTIA","NESOMYIDAE","3.7,3.8,4.7",NA,NA,"3,4"
"Steatomys opimus","RODENTIA","NESOMYIDAE","2.2","2.2",NA,"1,2"
"Steatomys parvus","RODENTIA","NESOMYIDAE","2.1,4.5",NA,"3.5","2,3,4"
"Steatomys pratensis","RODENTIA","NESOMYIDAE","2.1,4.5",NA,NA,"2,4"
"Mystromys albicaudatus","RODENTIA","NESOMYIDAE","3.5,4.5",NA,NA,"3,4"
"Brachytarsomys albicauda","RODENTIA","NESOMYIDAE","1.6,1.9",NA,NA,"1"
"Brachytarsomys villosus","RODENTIA","NESOMYIDAE",NA,NA,NA,NA
"Brachyuromys betsileoensis","RODENTIA","NESOMYIDAE","1.9,3.7,4.7,5.4","1.9,3.7,4.7,5.4",NA,"14,15,1,3,4,5"
"Brachyuromys ramirohitra","RODENTIA","NESOMYIDAE","1.6,1.9",NA,NA,"1"
"Eliurus antsingy","RODENTIA","NESOMYIDAE","1.5",NA,NA,"1"
"Eliurus carletoni","RODENTIA","NESOMYIDAE","1.5,1.6",NA,NA,"1"
"Eliurus danieli","RODENTIA","NESOMYIDAE","3.5",NA,NA,"3"
"Eliurus ellermani","RODENTIA","NESOMYIDAE","1.6",NA,NA,"1"
"Eliurus grandidieri","RODENTIA","NESOMYIDAE","1.6,1.9",NA,NA,"1"
"Eliurus majori","RODENTIA","NESOMYIDAE","1.9",NA,NA,"1"
"Eliurus minor","RODENTIA","NESOMYIDAE","1.5,1.6,1.9",NA,NA,"1"
"Eliurus myoxinus","RODENTIA","NESOMYIDAE","1.5,1.6",NA,NA,"1"
"Eliurus penicillatus","RODENTIA","NESOMYIDAE","1.6,1.9",NA,NA,"1"
"Eliurus petteri","RODENTIA","NESOMYIDAE","1.6,1.9",NA,NA,"1"
"Eliurus tanala","RODENTIA","NESOMYIDAE","1.6,1.9",NA,NA,"1"
"Eliurus tsingimbato","RODENTIA","NESOMYIDAE",NA,NA,NA,NA
"Eliurus webbi","RODENTIA","NESOMYIDAE","1.6,1.9",NA,NA,"1"
"Gymnuromys roberti","RODENTIA","NESOMYIDAE","1.6,1.9",NA,NA,"1"
"Hypogeomys antimena","RODENTIA","NESOMYIDAE","1.5",NA,NA,"1"
"Macrotarsomys bastardi","RODENTIA","NESOMYIDAE","1.5,3.5",NA,NA,"1,3"
"Macrotarsomys ingens","RODENTIA","NESOMYIDAE","1.5",NA,NA,"1"
"Macrotarsomys petteri","RODENTIA","NESOMYIDAE","1.5",NA,NA,"1"
"Monticolomys koopmani","RODENTIA","NESOMYIDAE","1.9",NA,NA,"1"
"Nesomys audeberti","RODENTIA","NESOMYIDAE","1.6","1.6",NA,"1"
"Nesomys lambertoni","RODENTIA","NESOMYIDAE","1.5",NA,NA,"1"
"Nesomys rufus","RODENTIA","NESOMYIDAE","1.6,1.9","1.6,1.9",NA,"14,1"
"Voalavo antsahabensis","RODENTIA","NESOMYIDAE","1.9",NA,NA,"1"
"Voalavo gymnocaudus","RODENTIA","NESOMYIDAE","1.9",NA,NA,"1"
"Petromyscus barbouri","RODENTIA","NESOMYIDAE","3.5,6",NA,NA,"3,6"
"Petromyscus collinus","RODENTIA","NESOMYIDAE","3.5,6",NA,NA,"3,6"
"Petromyscus monticularis","RODENTIA","NESOMYIDAE","3.5,6",NA,NA,"3,6"
"Petromyscus shortridgei","RODENTIA","NESOMYIDAE","3.5,6",NA,NA,"3,6"
"Platacanthomys lasiurus","RODENTIA","PLATACANTHOMYIDAE","1.6,1.9",NA,NA,"1"
"Typhlomys chapensis","RODENTIA","PLATACANTHOMYIDAE",NA,NA,NA,NA
"Typhlomys cinereus","RODENTIA","PLATACANTHOMYIDAE","1.4,1.6,1.9",NA,NA,"1"
"Typhlomys daloushanensis","RODENTIA","PLATACANTHOMYIDAE",NA,NA,NA,NA
"Typhlomys huangshanensis","RODENTIA","PLATACANTHOMYIDAE",NA,NA,NA,NA
"Typhlomys nanus","RODENTIA","PLATACANTHOMYIDAE",NA,NA,NA,NA
"Eospalax baileyi","RODENTIA","SPALACIDAE",NA,NA,NA,NA
"Eospalax cansus","RODENTIA","SPALACIDAE",NA,NA,NA,NA
"Eospalax fontanierii","RODENTIA","SPALACIDAE","14.1,3.4,4.4",NA,NA,"14,3,4"
"Eospalax rothschildi","RODENTIA","SPALACIDAE","1.4,3.4,4.4","1.4,3.4,4.4",NA,"1,14,3,4"
"Eospalax rufescens","RODENTIA","SPALACIDAE",NA,NA,NA,NA
"Eospalax smithii","RODENTIA","SPALACIDAE","4.4","4.4",NA,"14,4"
"Myospalax armandii","RODENTIA","SPALACIDAE",NA,NA,NA,NA
"Myospalax aspalax","RODENTIA","SPALACIDAE",NA,NA,NA,"1,3"
"Myospalax epsilanus","RODENTIA","SPALACIDAE",NA,NA,NA,NA
"Myospalax myospalax","RODENTIA","SPALACIDAE","4.4",NA,NA,"4"
"Myospalax psilurus","RODENTIA","SPALACIDAE","14.1,3.4,4.5,8.2",NA,NA,"14,3,4,8"
"Cannomys badius","RODENTIA","SPALACIDAE","1.4,14.3,1.6,1.9",NA,NA,"1,14"
"Rhizomys pruinosus","RODENTIA","SPALACIDAE","1.6,1.9","1.6,1.9",NA,"1,4"
"Rhizomys sinensis","RODENTIA","SPALACIDAE","1.4,14.3,1.6,1.9",NA,NA,"1,14"
"Rhizomys sumatrensis","RODENTIA","SPALACIDAE","1.6,1.9","1.6,1.9",NA,"14,1"
"Tachyoryctes macrocephalus","RODENTIA","SPALACIDAE","4.7",NA,NA,"4"
"Tachyoryctes splendens","RODENTIA","SPALACIDAE","14.1,14.2,14.3,1.9,2.1,3.7,4.5,4.7","14.1,14.2,14.3,1.9,2.1,3.7,4.5,4.7","1.6,3.6","14,1,2,3,4"
"Nannospalax ehrenbergi","RODENTIA","SPALACIDAE","14.1,3.5,3.8,4.5","14.1,3.5,3.8,4.5",NA,"14,3,4,8"
"Nannospalax leucodon","RODENTIA","SPALACIDAE","14.2,4.4",NA,NA,"14,4"
"Nannospalax xanthodon","RODENTIA","SPALACIDAE","4.5",NA,NA,"4"
"Spalax antiquus","RODENTIA","SPALACIDAE","14.1,14.2,14.4,4.4","14.1,14.2,14.4,4.4",NA,"14,4"
"Spalax arenarius","RODENTIA","SPALACIDAE","4.4",NA,NA,"4"
"Spalax giganteus","RODENTIA","SPALACIDAE","3.4,4.4",NA,NA,"3,4"
"Spalax graecus","RODENTIA","SPALACIDAE","14.1,14.2,14.3,4.4",NA,NA,"14,4"
"Spalax istricus","RODENTIA","SPALACIDAE","14.2,4.4",NA,NA,"14,4"
"Spalax microphthalmus","RODENTIA","SPALACIDAE","4.4",NA,NA,"4"
"Spalax uralensis","RODENTIA","SPALACIDAE","4.4",NA,NA,"4"
"Spalax zemni","RODENTIA","SPALACIDAE","4.4",NA,NA,"4"
"Atelerix albiventris","EULIPOTYPHLA","ERINACEIDAE","2.1,2.2,4.5",NA,"14.4","14,2,4"
"Atelerix algirus","EULIPOTYPHLA","ERINACEIDAE","14.1,14.2,14.4,3.8,4.4,8.2",NA,NA,"14,3,4,8"
"Atelerix frontalis","EULIPOTYPHLA","ERINACEIDAE","14.4,2.1,2.2,3.5,3.6,3.8,4.4,4.5",NA,"14.2,14.5","14,2,3,4"
"Atelerix sclateri","EULIPOTYPHLA","ERINACEIDAE","2.1,2.2",NA,"4.5","2,4"
"Erinaceus amurensis","EULIPOTYPHLA","ERINACEIDAE","1.4,3.4",NA,NA,"1,3"
"Erinaceus concolor","EULIPOTYPHLA","ERINACEIDAE","1.4,14.1,14.2,14.4,14.5,1.5,3.4,3.5",NA,NA,"1,14,3"
"Erinaceus europaeus","EULIPOTYPHLA","ERINACEIDAE","1.4,14.1,14.2,14.3,14.4,14.5,4.4",NA,NA,"1,14,4"
"Erinaceus roumanicus","EULIPOTYPHLA","ERINACEIDAE","1.4,14.1,14.2,14.3,14.4,3.8",NA,NA,"1,14,3"
"Hemiechinus auritus","EULIPOTYPHLA","ERINACEIDAE","14.1,3.4,3.5,8.2,8.3",NA,NA,"14,3,8"
"Hemiechinus collaris","EULIPOTYPHLA","ERINACEIDAE","3.5,4.5","3.5,4.5",NA,"14,3,4,8"
"Mesechinus dauuricus","EULIPOTYPHLA","ERINACEIDAE","1.4,4.5",NA,NA,"1,4"
"Mesechinus hughi","EULIPOTYPHLA","ERINACEIDAE","4.4",NA,NA,"4"
"Mesechinus miodon","EULIPOTYPHLA","ERINACEIDAE",NA,NA,NA,NA
"Mesechinus wangi","EULIPOTYPHLA","ERINACEIDAE",NA,NA,NA,NA
"Paraechinus aethiopicus","EULIPOTYPHLA","ERINACEIDAE","3.5,4.5,8.1","3.5,4.5,8.1",NA,"2,3,4,5,8"
"Paraechinus hypomelas","EULIPOTYPHLA","ERINACEIDAE","2.1,3.5,4.5,8.1",NA,NA,"2,3,4,8"
"Paraechinus micropus","EULIPOTYPHLA","ERINACEIDAE","3.5,8.1",NA,NA,"3,8"
"Paraechinus nudiventris","EULIPOTYPHLA","ERINACEIDAE","3.5",NA,NA,"3"
"Echinosorex gymnurus","EULIPOTYPHLA","ERINACEIDAE",NA,NA,NA,NA
"Hylomys megalotis","EULIPOTYPHLA","ERINACEIDAE","1.5,3.6,6",NA,"1.9","1,3,6"
"Hylomys parvus","EULIPOTYPHLA","ERINACEIDAE","1.9",NA,NA,"1"
"Hylomys suillus","EULIPOTYPHLA","ERINACEIDAE","14.3,14.4,14.6,1.6,1.9,3.6,3.7",NA,NA,"14,1,3"
"Neohylomys hainanensis","EULIPOTYPHLA","ERINACEIDAE","1.6,7.2",NA,NA,"1,7"
"Neotetracus sinensis","EULIPOTYPHLA","ERINACEIDAE","1.6,1.9",NA,NA,"1"
"Podogymnura aureospinula","EULIPOTYPHLA","ERINACEIDAE","1.6","1.6",NA,"14,1"
"Podogymnura truei","EULIPOTYPHLA","ERINACEIDAE","1.9",NA,NA,"1"
"Nesophontes edithae","EULIPOTYPHLA","NESOPHONTIDAE","18",NA,NA,"18"
"Nesophontes hemicingulus","EULIPOTYPHLA","NESOPHONTIDAE",NA,NA,NA,NA
"Nesophontes hypomicrus","EULIPOTYPHLA","NESOPHONTIDAE","1.6",NA,NA,"1"
"Nesophontes major","EULIPOTYPHLA","NESOPHONTIDAE","18",NA,NA,"18"
"Nesophontes micrus","EULIPOTYPHLA","NESOPHONTIDAE","18",NA,NA,"18"
"Nesophontes paramicrus","EULIPOTYPHLA","NESOPHONTIDAE","18",NA,NA,"18"
"Nesophontes zamicrus","EULIPOTYPHLA","NESOPHONTIDAE","18",NA,NA,"18"
"Atopogale cubana","EULIPOTYPHLA","SOLENODONTIDAE","1.6",NA,NA,"1"
"Solenodon arredondoi","EULIPOTYPHLA","SOLENODONTIDAE",NA,NA,NA,NA
"Solenodon marcanoi","EULIPOTYPHLA","SOLENODONTIDAE","18",NA,NA,"18"
"Solenodon paradoxus","EULIPOTYPHLA","SOLENODONTIDAE","14.1,14.2,14.6,1.5,1.6,1.9,7.1","14.1,14.2,14.6,1.5,1.6,1.9,7.1",NA,"14,1,7"
"Crocidura abscondita","EULIPOTYPHLA","SORICIDAE",NA,NA,NA,NA
"Crocidura afeworkbekelei","EULIPOTYPHLA","SORICIDAE","4.7",NA,NA,"4"
"Crocidura aleksandrisi","EULIPOTYPHLA","SORICIDAE","3.8",NA,NA,"3"
"Crocidura allex","EULIPOTYPHLA","SORICIDAE","4.7,5.4",NA,NA,"4,5"
"Crocidura andamanensis","EULIPOTYPHLA","SORICIDAE","1.6",NA,NA,"1"
"Crocidura anhuiensis","EULIPOTYPHLA","SORICIDAE",NA,NA,NA,NA
"Crocidura annamitensis","EULIPOTYPHLA","SORICIDAE","1.9",NA,NA,"1"
"Crocidura ansellorum","EULIPOTYPHLA","SORICIDAE","1.6",NA,NA,"1"
"Crocidura arabica","EULIPOTYPHLA","SORICIDAE","18",NA,NA,"18"
"Crocidura arispa","EULIPOTYPHLA","SORICIDAE","6",NA,NA,"6"
"Crocidura armenica","EULIPOTYPHLA","SORICIDAE","6",NA,NA,"6"
